ticker,date,period_ending,estimate,reported,surprise,surprise%
TTGT,04-AUG-21,Jun 2021,0.48,0.51,0.03,6.25
TTMI,28-JUL-21,Jun 2021,0.3,0.36,0.06,20.0
TTWO,02-AUG-21,Jun 2021,0.93,1.07,0.14,15.05
TUP,04-AUG-21,Jun 2021,0.59,0.95,0.36,61.02
TVTY,04-AUG-21,Jun 2021,0.35,0.48,0.13,37.14
TW,29-JUL-21,Jun 2021,0.39,0.39,0.0,0.0
TWI,29-JUL-21,Jun 2021,0.14,0.22,0.08,57.14
TWLO,29-JUL-21,Jun 2021,-0.14,-0.11,0.03,21.43
TWNK,04-AUG-21,Jun 2021,0.22,0.23,0.01,4.55
TWO,04-AUG-21,Jun 2021,0.19,0.19,0.0,0.0
TWOU,29-JUL-21,Jun 2021,-0.16,-0.09,0.07,43.75
TWST,06-AUG-21,Jun 2021,-0.76,-0.82,-0.06,-7.89
TWTR,22-JUL-21,Jun 2021,0.07,0.2,0.13,185.71
TXG,04-AUG-21,Jun 2021,-0.26,-0.1,0.16,61.54
TXMD,04-AUG-21,Jun 2021,-0.11,-0.11,0.0,0.0
TXN,21-JUL-21,Jun 2021,1.82,2.05,0.23,12.64
TXRH,29-JUL-21,Jun 2021,1.01,1.08,0.07,6.93
TXT,29-JUL-21,Jun 2021,0.61,0.81,0.2,32.79
TYL,28-JUL-21,Jun 2021,1.65,1.83,0.18,10.91
U,10-AUG-21,Jun 2021,-0.12,-0.02,0.1,83.33
UAA,03-AUG-21,Jun 2021,0.06,0.16,0.1,166.67
UAL,20-JUL-21,Jun 2021,-4.17,-3.91,0.26,6.24
UBA,08-SEP-21,Jul 2021,0.35,0.48,0.13,37.14
UBER,04-AUG-21,Jun 2021,-0.53,0.58,1.11,209.43
UBSI,23-JUL-21,Jun 2021,0.72,0.73,0.01,1.39
UCBI,20-JUL-21,Jun 2021,0.78,0.79,0.01,1.28
UCTT,02-AUG-21,Jun 2021,0.95,0.99,0.04,4.21
UDR,28-JUL-21,Jun 2021,0.49,0.49,0.0,0.0
UE,04-AUG-21,Jun 2021,0.26,0.11,-0.15,-57.69
UEIC,05-AUG-21,Jun 2021,0.92,0.98,0.06,6.52
UFCS,04-AUG-21,Jun 2021,-0.07,0.35,0.42,600.0
UFPI,21-JUL-21,Jun 2021,1.84,2.61,0.77,41.85
UFPT,03-AUG-21,Jun 2021,0.47,0.62,0.15,31.91
UGI,04-AUG-21,Jun 2021,0.11,0.13,0.02,18.18
UHS,26-JUL-21,Jun 2021,2.75,3.76,1.01,36.73
UI,27-AUG-21,Jun 2021,2.35,2.46,0.11,4.68
ULTA,25-AUG-21,Jul 2021,2.49,4.56,2.07,83.13
UMBF,27-JUL-21,Jun 2021,1.74,1.8,0.06,3.45
UMH,04-AUG-21,Jun 2021,0.22,0.22,0.0,0.0
UMPQ,21-JUL-21,Jun 2021,0.44,0.53,0.09,20.45
UNF,30-JUN-21,May 2021,1.84,2.21,0.37,20.11
UNFI,28-SEP-21,Jul 2021,0.81,1.18,0.37,45.68
UNH,15-JUL-21,Jun 2021,4.41,4.7,0.29,6.58
UNIT,05-AUG-21,Jun 2021,0.4,0.2,-0.2,-50.0
UNM,03-AUG-21,Jun 2021,1.13,1.39,0.26,23.01
UNP,22-JUL-21,Jun 2021,2.55,2.72,0.17,6.67
UNVR,02-AUG-21,Jun 2021,0.5,0.57,0.07,14.0
UPLD,04-AUG-21,Jun 2021,0.42,0.41,-0.01,-2.38
UPS,27-JUL-21,Jun 2021,2.75,3.06,0.31,11.27
UPST,10-AUG-21,Jun 2021,0.24,0.62,0.38,158.33
UPWK,29-JUL-21,Jun 2021,-0.11,-0.13,-0.02,-18.18
URBN,24-AUG-21,Jul 2021,0.79,1.28,0.49,62.03
URG,03-AUG-21,Jun 2021,-0.01,-0.04,-0.03,-300.0
URGN,04-AUG-21,Jun 2021,-1.1,-1.17,-0.07,-6.36
URI,28-JUL-21,Jun 2021,4.81,4.66,-0.15,-3.12
