ticker,date,period_ending,estimate,reported,surprise,surprise%
AKTS,30-AUG-21,Jun 2021,-0.16,-0.19,-0.03,-18.75
AL,05-AUG-21,Jun 2021,0.84,0.75,-0.09,-10.71
ALB,04-AUG-21,Jun 2021,0.83,0.89,0.06,7.23
ALBO,05-AUG-21,Jun 2021,-1.92,-1.9,0.02,1.04
ALDX,05-AUG-21,Jun 2021,-0.27,-0.28,-0.01,-3.7
ALE,04-AUG-21,Jun 2021,0.54,0.53,-0.01,-1.85
ALEC,03-AUG-21,Jun 2021,-0.69,-0.69,0.0,0.0
ALEX,29-JUL-21,Jun 2021,0.15,0.18,0.03,20.0
ALG,04-AUG-21,Jun 2021,1.56,1.97,0.41,26.28
ALGM,29-JUL-21,Jun 2021,0.16,0.18,0.02,12.5
ALGN,28-JUL-21,Jun 2021,2.52,3.04,0.52,20.63
ALGT,28-JUL-21,Jun 2021,2.96,3.46,0.5,16.89
ALK,22-JUL-21,Jun 2021,-0.31,-0.3,0.01,3.23
ALKS,28-JUL-21,Jun 2021,0.12,0.3,0.18,150.0
ALL,04-AUG-21,Jun 2021,2.99,3.79,0.8,26.76
ALLE,22-JUL-21,Jun 2021,1.29,1.32,0.03,2.33
ALLK,09-AUG-21,Jun 2021,-1.06,-1.07,-0.01,-0.94
ALLO,04-AUG-21,Jun 2021,-0.55,-0.53,0.02,3.64
ALLY,20-JUL-21,Jun 2021,1.55,2.33,0.78,50.32
ALNY,03-AUG-21,Jun 2021,-1.57,-1.61,-0.04,-2.55
ALRM,05-AUG-21,Jun 2021,0.38,0.54,0.16,42.11
ALRS,28-JUL-21,Jun 2021,0.56,0.66,0.1,17.86
ALSN,28-JUL-21,Jun 2021,0.92,1.01,0.09,9.78
ALT,10-AUG-21,Jun 2021,-0.44,-0.4,0.04,9.09
ALTG,12-AUG-21,Jun 2021,-0.06,-0.11,-0.05,-83.33
ALTR,05-AUG-21,Jun 2021,0.01,0.07,0.06,600.0
ALVR,06-AUG-21,Jun 2021,-0.46,-0.6,-0.14,-30.43
ALX,02-AUG-21,Jun 2021,4.56,5.05,0.49,10.75
ALXO,12-AUG-21,Jun 2021,-0.42,-0.34,0.08,19.05
AM,28-JUL-21,Jun 2021,0.19,0.23,0.04,21.05
AMAT,19-AUG-21,Jul 2021,1.76,1.9,0.14,7.95
AMBA,31-AUG-21,Jul 2021,0.25,0.35,0.1,40.0
AMC,09-AUG-21,Jun 2021,-0.91,-0.71,0.2,21.98
AMCR,17-AUG-21,Jun 2021,0.22,0.23,0.01,4.55
AMCX,06-AUG-21,Jun 2021,2.18,3.45,1.27,58.26
AMD,27-JUL-21,Jun 2021,0.54,0.63,0.09,16.67
AME,03-AUG-21,Jun 2021,1.11,1.15,0.04,3.6
AMED,04-AUG-21,Jun 2021,1.64,1.69,0.05,3.05
AMEH,05-AUG-21,Jun 2021,0.21,0.28,0.07,33.33
AMG,28-JUL-21,Jun 2021,3.82,4.03,0.21,5.5
AMGN,03-AUG-21,Jun 2021,4.13,4.38,0.25,6.05
AMH,05-AUG-21,Jun 2021,0.3,0.33,0.03,10.0
AMK,28-JUL-21,Jun 2021,0.34,0.36,0.02,5.88
AMN,05-AUG-21,Jun 2021,1.47,1.64,0.17,11.56
AMNB,22-JUL-21,Jun 2021,0.77,0.99,0.22,28.57
AMOT,04-AUG-21,Jun 2021,0.26,0.33,0.07,26.92
AMP,26-JUL-21,Jun 2021,5.23,5.27,0.04,0.76
AMPE,04-AUG-21,Jun 2021,-0.02,-0.02,0.0,0.0
AMPH,09-AUG-21,Jun 2021,0.21,0.21,0.0,0.0
AMRC,02-AUG-21,Jun 2021,0.26,0.34,0.08,30.77
AMRK,09-SEP-21,Jun 2021,2.4,4.28,1.88,78.33
AMRS,05-AUG-21,Jun 2021,-0.13,-0.16,-0.03,-23.08
AMRX,09-AUG-21,Jun 2021,0.18,0.25,0.07,38.89
AMSC,04-AUG-21,Jun 2021,-0.16,-0.1,0.06,37.5
AMSF,28-JUL-21,Jun 2021,0.73,1.04,0.31,42.47
AMSWA,25-AUG-21,Jul 2021,0.05,0.11,0.06,120.0
AMT,29-JUL-21,Jun 2021,2.34,2.42,0.08,3.42
AMTB,21-JUL-21,Jun 2021,0.39,0.51,0.12,30.77
AMTI,10-AUG-21,Jun 2021,-0.58,-0.62,-0.04,-6.9
AMTX,12-AUG-21,Jun 2021,-0.47,-0.38,0.09,19.15
AMWD,31-AUG-21,Jul 2021,1.41,0.7,-0.71,-50.35
AMZN,29-JUL-21,Jun 2021,12.22,15.12,2.9,23.73
AN,19-JUL-21,Jun 2021,2.85,4.83,1.98,69.47
ANAB,09-AUG-21,Jun 2021,-0.15,-0.02,0.13,86.67
ANDE,03-AUG-21,Jun 2021,0.64,1.31,0.67,104.69
ANET,02-AUG-21,Jun 2021,0.64,0.68,0.04,6.25
ANF,26-AUG-21,Jul 2021,0.75,1.7,0.95,126.67
ANIK,05-AUG-21,Jun 2021,-0.14,0.45,0.59,421.43
ANIP,06-AUG-21,Jun 2021,0.65,0.67,0.02,3.08
ANNX,16-AUG-21,Jun 2021,-0.68,-0.82,-0.14,-20.59
ANSS,04-AUG-21,Jun 2021,1.51,1.85,0.34,22.52
ANTM,21-JUL-21,Jun 2021,6.34,7.03,0.69,10.88
AON,30-JUL-21,Jun 2021,1.8,2.29,0.49,27.22
AOS,29-JUL-21,Jun 2021,0.65,0.73,0.08,12.31
AOSL,11-AUG-21,Jun 2021,0.75,0.95,0.2,26.67
AOUT,09-SEP-21,Jul 2021,0.41,0.48,0.07,17.07
APA,04-AUG-21,Jun 2021,0.54,0.7,0.16,29.63
APAM,03-AUG-21,Jun 2021,1.21,1.28,0.07,5.79
APD,09-AUG-21,Jun 2021,2.39,2.31,-0.08,-3.35
APEI,09-AUG-21,Jun 2021,0.05,0.03,-0.02,-40.0
APH,28-JUL-21,Jun 2021,0.55,0.61,0.06,10.91
APLE,05-AUG-21,Jun 2021,0.2,0.09,-0.11,-55.0
APLS,09-AUG-21,Jun 2021,-1.7,-2.72,-1.02,-60.0
APLT,12-AUG-21,Jun 2021,-0.99,-0.99,0.0,0.0
APO,04-AUG-21,Jun 2021,0.77,1.14,0.37,48.05
APOG,25-JUN-21,May 2021,0.4,0.42,0.02,5.0
APPF,09-AUG-21,Jun 2021,0.07,0.06,-0.01,-14.29
APPN,05-AUG-21,Jun 2021,-0.24,-0.24,0.0,0.0
APPS,09-AUG-21,Jun 2021,0.31,0.34,0.03,9.68
APTS,09-AUG-21,Jun 2021,0.24,0.33,0.09,37.5
APTV,05-AUG-21,Jun 2021,0.67,0.6,-0.07,-10.45
APYX,12-AUG-21,Jun 2021,-0.14,-0.12,0.02,14.29
AQUA,03-AUG-21,Jun 2021,0.19,0.17,-0.02,-10.53
AR,28-JUL-21,Jun 2021,0.24,0.14,-0.1,-41.67
ARAY,11-AUG-21,Jun 2021,-0.01,-0.01,0.0,0.0
ARCB,02-AUG-21,Jun 2021,1.6,1.97,0.37,23.13
ARCH,27-JUL-21,Jun 2021,1.57,1.66,0.09,5.73
ARCT,09-AUG-21,Jun 2021,-1.99,-2.07,-0.08,-4.02
ARDX,13-AUG-21,Jun 2021,-0.36,-0.45,-0.09,-25.0
ARE,26-JUL-21,Jun 2021,1.89,2.61,0.72,38.1
ARES,29-JUL-21,Jun 2021,0.5,0.64,0.14,28.0
ARGO,02-AUG-21,Jun 2021,0.88,1.6,0.72,81.82
ARI,26-JUL-21,Jun 2021,0.37,0.41,0.04,10.81
ARLO,04-AUG-21,Jun 2021,-0.15,-0.04,0.11,73.33
ARMK,10-AUG-21,Jun 2021,0.02,0.04,0.02,100.0
ARNC,03-AUG-21,Jun 2021,0.47,-0.05,-0.52,-110.64
AROC,29-JUL-21,Jun 2021,0.06,0.06,0.0,0.0
AROW,27-JUL-21,Jun 2021,0.8,0.83,0.03,3.75
ARQT,05-AUG-21,Jun 2021,-0.91,-0.84,0.07,7.69
ARR,22-JUL-21,Jun 2021,0.27,0.21,-0.06,-22.22
ARRY,11-AUG-21,Jun 2021,0.05,0.07,0.02,40.0
ARVN,05-AUG-21,Jun 2021,-0.84,-1.03,-0.19,-22.62
ARW,05-AUG-21,Jun 2021,2.91,3.34,0.43,14.78
ARWR,05-AUG-21,Jun 2021,-0.08,-0.29,-0.21,-262.5
ASAN,01-SEP-21,Jul 2021,-0.26,-0.23,0.03,11.54
ASB,22-JUL-21,Jun 2021,0.52,0.56,0.04,7.69
ASGN,28-JUL-21,Jun 2021,1.27,1.32,0.05,3.94
ASH,27-JUL-21,Jun 2021,1.27,1.22,-0.05,-3.94
ASIX,30-JUL-21,Jun 2021,1.08,1.53,0.45,41.67
ASPN,29-JUL-21,Jun 2021,-0.28,-0.23,0.05,17.86
ASTE,04-AUG-21,Jun 2021,0.49,0.49,0.0,0.0
ATEC,03-AUG-21,Jun 2021,-0.2,-0.3,-0.1,-50.0
ATEN,27-JUL-21,Jun 2021,0.12,0.13,0.01,8.33
ATGE,19-AUG-21,Jun 2021,0.7,0.7,0.0,0.0
ATHX,09-AUG-21,Jun 2021,-0.08,-0.1,-0.02,-25.0
ATI,03-AUG-21,Jun 2021,-0.2,-0.12,0.08,40.0
ATLC,13-AUG-21,Jun 2021,1.42,1.56,0.14,9.86
ATNI,28-JUL-21,Jun 2021,0.07,0.13,0.06,85.71
ATNX,05-AUG-21,Jun 2021,-0.41,-0.33,0.08,19.51
ATO,04-AUG-21,Jun 2021,0.74,0.78,0.04,5.41
ATR,29-JUL-21,Jun 2021,0.97,0.91,-0.06,-6.19
ATRA,09-AUG-21,Jun 2021,-0.88,-0.91,-0.03,-3.41
ATRC,04-AUG-21,Jun 2021,-0.33,-0.36,-0.03,-9.09
ATRO,06-AUG-21,Jun 2021,-0.17,-0.26,-0.09,-52.94
ATRS,05-AUG-21,Jun 2021,0.02,0.03,0.01,50.0
ATSG,05-AUG-21,Jun 2021,0.26,0.35,0.09,34.62
ATUS,28-JUL-21,Jun 2021,0.47,0.52,0.05,10.64
ATVI,03-AUG-21,Jun 2021,0.76,0.91,0.15,19.74
AUB,22-JUL-21,Jun 2021,0.73,1.05,0.32,43.84
AVA,04-AUG-21,Jun 2021,0.26,0.2,-0.06,-23.08
AVAV,08-SEP-21,Jul 2021,-0.26,-0.17,0.09,34.62
AVB,28-JUL-21,Jun 2021,1.93,3.21,1.28,66.32
AVD,09-AUG-21,Jun 2021,0.1,0.17,0.07,70.0
AVGO,02-SEP-21,Jul 2021,6.88,6.96,0.08,1.16
AVID,03-AUG-21,Jun 2021,0.23,0.25,0.02,8.7
AVIR,12-AUG-21,Jun 2021,0.01,0.02,0.01,100.0
AVLR,05-AUG-21,Jun 2021,-0.1,0.02,0.12,120.0
AVNS,03-AUG-21,Jun 2021,0.23,0.21,-0.02,-8.7
AVNW,25-AUG-21,Jun 2021,0.43,0.45,0.02,4.65
AVO,13-SEP-21,Jul 2021,0.3,0.27,-0.03,-10.0
AVRO,05-AUG-21,Jun 2021,-0.66,-0.74,-0.08,-12.12
AVT,11-AUG-21,Jun 2021,1.03,1.12,0.09,8.74
AVTR,29-JUL-21,Jun 2021,0.3,0.35,0.05,16.67
AVXL,12-AUG-21,Jun 2021,-0.13,-0.14,-0.01,-7.69
AVY,28-JUL-21,Jun 2021,2.07,2.25,0.18,8.7
AVYA,09-AUG-21,Jun 2021,0.7,0.75,0.05,7.14
AWH,12-AUG-21,Jun 2021,-0.06,-0.06,0.0,0.0
AWI,27-JUL-21,Jun 2021,1.01,1.16,0.15,14.85
AWK,02-AUG-21,Jun 2021,1.08,1.14,0.06,5.56
AWR,02-AUG-21,Jun 2021,0.7,0.72,0.02,2.86
AX,29-JUL-21,Jun 2021,0.86,0.92,0.06,6.98
AXGN,04-AUG-21,Jun 2021,-0.12,-0.09,0.03,25.0
AXL,30-JUL-21,Jun 2021,-0.03,0.29,0.32,1066.67
AXNX,05-AUG-21,Jun 2021,-0.51,-0.59,-0.08,-15.69
AXON,05-AUG-21,Jun 2021,0.22,0.38,0.16,72.73
AXP,23-JUL-21,Jun 2021,1.64,2.8,1.16,70.73
AXS,27-JUL-21,Jun 2021,1.43,2.0,0.57,39.86
AXSM,09-AUG-21,Jun 2021,-0.88,-0.86,0.02,2.27
AXTA,26-JUL-21,Jun 2021,0.46,0.48,0.02,4.35
AXTI,27-JUL-21,Jun 2021,0.07,0.1,0.03,42.86
AYI,01-JUL-21,May 2021,2.25,2.77,0.52,23.11
AYX,03-AUG-21,Jun 2021,-0.25,-0.08,0.17,68.0
AZEK,12-AUG-21,Jun 2021,0.23,0.26,0.03,13.04
AZPN,11-AUG-21,Jun 2021,1.46,1.53,0.07,4.79
AZZ,09-JUL-21,May 2021,0.62,0.88,0.26,41.94
B,30-JUL-21,Jun 2021,0.44,0.45,0.01,2.27
BA,28-JUL-21,Jun 2021,-0.65,0.4,1.05,161.54
BAC,14-JUL-21,Jun 2021,0.77,1.03,0.26,33.77
BAH,30-JUL-21,Jun 2021,0.96,1.07,0.11,11.46
BANC,22-JUL-21,Jun 2021,0.28,0.32,0.04,14.29
BAND,05-AUG-21,Jun 2021,0.09,0.32,0.23,255.56
BANF,15-JUL-21,Jun 2021,1.1,1.45,0.35,31.82
BANR,21-JUL-21,Jun 2021,1.09,1.56,0.47,43.12
BATRK,06-AUG-21,Jun 2021,0.16,0.39,0.23,143.75
BAX,29-JUL-21,Jun 2021,0.74,0.8,0.06,8.11
BBBY,30-JUN-21,May 2021,0.08,0.05,-0.03,-37.5
BBIO,05-AUG-21,Jun 2021,-0.93,-0.66,0.27,29.03
BBSI,04-AUG-21,Jun 2021,1.44,2.24,0.8,55.56
BBY,24-AUG-21,Jul 2021,1.91,2.98,1.07,56.02
BC,29-JUL-21,Jun 2021,2.11,2.52,0.41,19.43
BCC,02-AUG-21,Jun 2021,4.69,7.62,2.93,62.47
BCO,22-JUL-21,Jun 2021,0.96,1.18,0.22,22.92
BCOR,04-AUG-21,Jun 2021,1.14,1.28,0.14,12.28
BCOV,28-JUL-21,Jun 2021,0.03,0.11,0.08,266.67
BCRX,05-AUG-21,Jun 2021,-0.22,-0.24,-0.02,-9.09
BDC,04-AUG-21,Jun 2021,0.94,1.21,0.27,28.72
BDN,26-JUL-21,Jun 2021,0.32,0.32,0.0,0.0
BDX,05-AUG-21,Jun 2021,2.46,2.74,0.28,11.38
BE,04-AUG-21,Jun 2021,-0.05,-0.23,-0.18,-360.0
BEAM,10-AUG-21,Jun 2021,-0.58,-0.95,-0.37,-63.79
BECN,05-AUG-21,Jun 2021,1.31,1.59,0.28,21.37
BEN,03-AUG-21,Jun 2021,0.76,0.96,0.2,26.32
BERY,05-AUG-21,Jun 2021,1.52,1.53,0.01,0.66
BFAM,04-AUG-21,Jun 2021,0.28,0.49,0.21,75.0
BFC,20-JUL-21,Jun 2021,1.4,1.5,0.1,7.14
BFS,05-AUG-21,Jun 2021,0.74,0.79,0.05,6.76
BFST,26-JUL-21,Jun 2021,0.54,0.9,0.36,66.67
BG,28-JUL-21,Jun 2021,1.6,2.61,1.01,63.13
BGCP,04-AUG-21,Jun 2021,0.16,0.16,0.0,0.0
BGS,05-AUG-21,Jun 2021,0.47,0.41,-0.06,-12.77
BHB,21-JUL-21,Jun 2021,0.59,0.63,0.04,6.78
BHF,05-AUG-21,Jun 2021,3.12,5.32,2.2,70.51
BHLB,21-JUL-21,Jun 2021,0.31,0.43,0.12,38.71
BHVN,09-AUG-21,Jun 2021,-2.77,-3.23,-0.46,-16.61
BIG,27-AUG-21,Jul 2021,1.13,1.09,-0.04,-3.54
BIGC,05-AUG-21,Jun 2021,-0.12,-0.06,0.06,50.0
BIIB,22-JUL-21,Jun 2021,4.57,5.68,1.11,24.29
BILL,26-AUG-21,Jun 2021,-0.05,-0.07,-0.02,-40.0
BIO,29-JUL-21,Jun 2021,1.9,3.54,1.64,86.32
BJ,19-AUG-21,Jul 2021,0.65,0.82,0.17,26.15
BJRI,29-JUL-21,Jun 2021,0.16,0.26,0.1,62.5
BK,15-JUL-21,Jun 2021,1.02,1.13,0.11,10.78
BKD,05-AUG-21,Jun 2021,-0.48,-0.45,0.03,6.25
BKE,20-AUG-21,Jul 2021,0.86,1.04,0.18,20.93
BKI,05-AUG-21,Jun 2021,0.54,0.57,0.03,5.56
BKNG,04-AUG-21,Jun 2021,-2.69,-2.55,0.14,5.2
BKR,21-JUL-21,Jun 2021,0.17,0.1,-0.07,-41.18
BKU,22-JUL-21,Jun 2021,0.84,1.11,0.27,32.14
BL,05-AUG-21,Jun 2021,0.08,0.15,0.07,87.5
BLBD,12-AUG-21,Jun 2021,0.46,0.19,-0.27,-58.7
BLD,03-AUG-21,Jun 2021,2.49,2.76,0.27,10.84
BLDR,05-AUG-21,Jun 2021,1.41,2.76,1.35,95.74
BLFS,12-AUG-21,Jun 2021,-0.05,0.19,0.24,480.0
BLI,11-AUG-21,Jun 2021,-0.24,-0.27,-0.03,-12.5
BLK,14-JUL-21,Jun 2021,9.33,10.03,0.7,7.5
BLKB,03-AUG-21,Jun 2021,0.69,0.82,0.13,18.84
BLL,05-AUG-21,Jun 2021,0.83,0.86,0.03,3.61
BLMN,30-JUL-21,Jun 2021,0.67,0.81,0.14,20.9
BLNK,11-AUG-21,Jun 2021,-0.18,-0.32,-0.14,-77.78
BLUE,09-AUG-21,Jun 2021,-3.26,-3.58,-0.32,-9.82
BMI,20-JUL-21,Jun 2021,0.48,0.48,0.0,0.0
BMRC,19-JUL-21,Jun 2021,0.62,0.71,0.09,14.52
BMRN,28-JUL-21,Jun 2021,0.3,0.53,0.23,76.67
BMY,28-JUL-21,Jun 2021,1.88,1.93,0.05,2.66
BNFT,03-AUG-21,Jun 2021,-0.13,-0.18,-0.05,-38.46
BNGO,04-AUG-21,Jun 2021,-0.05,-0.06,-0.01,-20.0
BNL,03-AUG-21,Jun 2021,0.34,0.14,-0.2,-58.82
BOH,26-JUL-21,Jun 2021,1.31,1.68,0.37,28.24
BOKF,21-JUL-21,Jun 2021,1.84,2.4,0.56,30.43
BOOM,22-JUL-21,Jun 2021,0.14,0.1,-0.04,-28.57
BOOT,04-AUG-21,Jun 2021,0.92,1.26,0.34,36.96
BOX,25-AUG-21,Jul 2021,0.17,0.21,0.04,23.53
BPMC,29-JUL-21,Jun 2021,-1.77,-1.86,-0.09,-5.08
BPOP,22-JUL-21,Jun 2021,2.03,2.66,0.63,31.03
BR,12-AUG-21,Jun 2021,2.19,2.19,0.0,0.0
BRBR,05-AUG-21,Jun 2021,0.22,0.3,0.08,36.36
BRC,02-SEP-21,Jul 2021,0.7,0.7,0.0,0.0
BRKL,28-JUL-21,Jun 2021,0.33,0.4,0.07,21.21
BRKR,02-AUG-21,Jun 2021,0.4,0.44,0.04,10.0
BRMK,09-AUG-21,Jun 2021,0.2,0.18,-0.02,-10.0
BRO,26-JUL-21,Jun 2021,0.4,0.49,0.09,22.5
BRP,09-AUG-21,Jun 2021,0.09,0.14,0.05,55.56
BRX,02-AUG-21,Jun 2021,0.42,0.46,0.04,9.52
BRY,03-AUG-21,Jun 2021,-0.07,-0.08,-0.01,-14.29
BSIG,29-JUL-21,Jun 2021,0.37,0.4,0.03,8.11
BSRR,19-JUL-21,Jun 2021,0.66,0.76,0.1,15.15
BSX,27-JUL-21,Jun 2021,0.37,0.4,0.03,8.11
BSY,10-AUG-21,Jun 2021,0.14,0.23,0.09,64.29
BTAI,10-AUG-21,Jun 2021,-1.03,-1.11,-0.08,-7.77
BTU,29-JUL-21,Jun 2021,-0.76,-0.35,0.41,53.95
BURL,26-AUG-21,Jul 2021,1.52,1.94,0.42,27.63
BUSE,27-JUL-21,Jun 2021,0.56,0.57,0.01,1.79
BV,05-AUG-21,Jun 2021,0.44,0.44,0.0,0.0
BW,12-AUG-21,Jun 2021,-0.05,0.02,0.07,140.0
BWA,04-AUG-21,Jun 2021,0.79,1.08,0.29,36.71
BWB,29-JUL-21,Jun 2021,0.37,0.38,0.01,2.7
BWXT,02-AUG-21,Jun 2021,0.73,0.62,-0.11,-15.07
BX,22-JUL-21,Jun 2021,0.8,0.82,0.02,2.5
BXMT,28-JUL-21,Jun 2021,0.61,0.61,0.0,0.0
BXP,27-JUL-21,Jun 2021,1.61,1.72,0.11,6.83
BY,29-JUL-21,Jun 2021,0.48,0.77,0.29,60.42
BYD,27-JUL-21,Jun 2021,0.92,1.54,0.62,67.39
BYND,05-AUG-21,Jun 2021,-0.27,-0.31,-0.04,-14.81
BYSI,10-SEP-21,Jun 2021,-0.49,-0.49,0.0,0.0
BZH,29-JUL-21,Jun 2021,0.9,1.26,0.36,40.0
C,14-JUL-21,Jun 2021,1.94,2.84,0.9,46.39
CABO,09-AUG-21,Jun 2021,11.09,16.68,5.59,50.41
CAC,27-JUL-21,Jun 2021,1.16,1.21,0.05,4.31
CACC,29-JUL-21,Jun 2021,10.08,17.18,7.1,70.44
CACI,11-AUG-21,Jun 2021,5.74,6.26,0.52,9.06
CADE,21-JUL-21,Jun 2021,0.67,0.86,0.19,28.36
CAG,13-JUL-21,May 2021,0.53,0.54,0.01,1.89
CAH,05-AUG-21,Jun 2021,1.18,0.77,-0.41,-34.75
CAKE,27-JUL-21,Jun 2021,0.75,0.8,0.05,6.67
CAL,31-AUG-21,Jul 2021,0.55,1.19,0.64,116.36
CALM,19-JUL-21,May 2021,0.26,-0.09,-0.35,-134.62
CALX,26-JUL-21,Jun 2021,0.28,0.38,0.1,35.71
CAMP,24-JUN-21,May 2021,0.07,0.08,0.01,14.29
CAR,03-AUG-21,Jun 2021,2.26,5.9,3.64,161.06
CARA,09-AUG-21,Jun 2021,-0.55,-0.61,-0.06,-10.91
CARG,05-AUG-21,Jun 2021,0.24,0.41,0.17,70.83
CARR,29-JUL-21,Jun 2021,0.56,0.64,0.08,14.29
CASH,28-JUL-21,Jun 2021,0.89,1.21,0.32,35.96
CASY,07-SEP-21,Jul 2021,2.83,3.19,0.36,12.72
CAT,30-JUL-21,Jun 2021,2.38,2.6,0.22,9.24
CATC,20-JUL-21,Jun 2021,1.8,1.98,0.18,10.0
CATY,26-JUL-21,Jun 2021,0.83,0.97,0.14,16.87
CB,27-JUL-21,Jun 2021,2.96,3.62,0.66,22.3
CBAY,12-AUG-21,Jun 2021,-0.27,-0.34,-0.07,-25.93
CBOE,30-JUL-21,Jun 2021,1.35,1.38,0.03,2.22
CBRE,29-JUL-21,Jun 2021,0.78,1.36,0.58,74.36
CBRL,21-SEP-21,Jul 2021,2.42,2.25,-0.17,-7.02
CBSH,22-JUL-21,Jun 2021,0.97,1.31,0.34,35.05
CBT,09-AUG-21,Jun 2021,1.19,1.35,0.16,13.45
CBTX,28-JUL-21,Jun 2021,0.43,0.48,0.05,11.63
CBU,26-JUL-21,Jun 2021,0.8,0.88,0.08,10.0
CBZ,29-JUL-21,Jun 2021,0.38,0.5,0.12,31.58
CC,29-JUL-21,Jun 2021,0.89,1.2,0.31,34.83
CCBG,27-JUL-21,Jun 2021,0.58,0.44,-0.14,-24.14
CCI,21-JUL-21,Jun 2021,1.66,1.71,0.05,3.01
CCK,19-JUL-21,Jun 2021,1.8,2.14,0.34,18.89
CCL,28-JUN-21,May 2021,-1.68,-1.8,-0.12,-7.14
CCMP,04-AUG-21,Jun 2021,1.99,1.86,-0.13,-6.53
CCNE,20-JUL-21,Jun 2021,0.72,0.76,0.04,5.56
CCO,29-JUL-21,Jun 2021,-0.24,-0.27,-0.03,-12.5
CCOI,05-AUG-21,Jun 2021,0.24,-0.05,-0.29,-120.83
CCRN,04-AUG-21,Jun 2021,0.4,0.47,0.07,17.5
CCS,28-JUL-21,Jun 2021,2.82,3.47,0.65,23.05
CCXI,09-AUG-21,Jun 2021,-0.55,-0.56,-0.01,-1.82
CDAY,04-AUG-21,Jun 2021,0.05,0.06,0.01,20.0
CDEV,03-AUG-21,Jun 2021,0.06,0.02,-0.04,-66.67
CDK,17-AUG-21,Jun 2021,0.67,0.66,-0.01,-1.49
CDLX,03-AUG-21,Jun 2021,-0.35,-0.39,-0.04,-11.43
CDMO,08-SEP-21,Jul 2021,0.02,0.1,0.08,400.0
CDNA,29-JUL-21,Jun 2021,0.05,0.11,0.06,120.0
CDNS,26-JUL-21,Jun 2021,0.75,0.86,0.11,14.67
CDW,04-AUG-21,Jun 2021,1.79,2.02,0.23,12.85
CDXC,03-AUG-21,Jun 2021,-0.09,-0.08,0.01,11.11
CDXS,05-AUG-21,Jun 2021,-0.17,-0.07,0.1,58.82
CE,22-JUL-21,Jun 2021,4.49,5.02,0.53,11.8
CEIX,03-AUG-21,Jun 2021,0.22,0.58,0.36,163.64
CELH,12-AUG-21,Jun 2021,0.01,0.05,0.04,400.0
CENT,04-AUG-21,Jun 2021,0.99,1.37,0.38,38.38
CENTA,04-AUG-21,Jun 2021,0.99,1.37,0.38,38.38
CENX,04-AUG-21,Jun 2021,-0.22,-0.27,-0.05,-22.73
CERE,11-AUG-21,Jun 2021,-0.41,-0.42,-0.01,-2.44
CERN,30-JUL-21,Jun 2021,0.76,0.8,0.04,5.26
CERS,03-AUG-21,Jun 2021,-0.1,-0.09,0.01,10.0
CEVA,09-AUG-21,Jun 2021,0.11,0.22,0.11,100.0
CF,09-AUG-21,Jun 2021,1.64,1.14,-0.5,-30.49
CFB,22-JUL-21,Jun 2021,0.26,0.3,0.04,15.38
CFFN,29-JUL-21,Jun 2021,0.12,0.13,0.01,8.33
CFG,20-JUL-21,Jun 2021,1.14,1.46,0.32,28.07
CFR,29-JUL-21,Jun 2021,1.6,1.8,0.2,12.5
CG,29-JUL-21,Jun 2021,0.61,0.88,0.27,44.26
CGNX,05-AUG-21,Jun 2021,0.42,0.43,0.01,2.38
CHCO,22-JUL-21,Jun 2021,1.13,1.41,0.28,24.78
CHCT,03-AUG-21,Jun 2021,0.55,0.22,-0.33,-60.0
CHD,30-JUL-21,Jun 2021,0.7,0.76,0.06,8.57
CHDN,28-JUL-21,Jun 2021,2.56,3.08,0.52,20.31
CHE,27-JUL-21,Jun 2021,4.45,4.6,0.15,3.37
CHEF,28-JUL-21,Jun 2021,-0.35,0.04,0.39,111.43
CHGG,09-AUG-21,Jun 2021,0.38,0.43,0.05,13.16
CHH,05-AUG-21,Jun 2021,0.91,1.22,0.31,34.07
CHK,10-AUG-21,Jun 2021,1.3,1.64,0.34,26.15
CHNG,04-AUG-21,Jun 2021,0.46,0.41,-0.05,-10.87
CHRS,05-AUG-21,Jun 2021,-0.25,-0.4,-0.15,-60.0
CHRW,27-JUL-21,Jun 2021,1.31,1.44,0.13,9.92
CHS,31-AUG-21,Jul 2021,-0.08,0.21,0.29,362.5
CHTR,30-JUL-21,Jun 2021,4.81,5.29,0.48,9.98
CHUY,05-AUG-21,Jun 2021,0.48,0.62,0.14,29.17
CHX,28-JUL-21,Jun 2021,0.1,0.11,0.01,10.0
CI,05-AUG-21,Jun 2021,4.96,5.24,0.28,5.65
CIEN,02-SEP-21,Jul 2021,0.79,0.92,0.13,16.46
CIM,04-AUG-21,Jun 2021,0.37,0.54,0.17,45.95
CINF,28-JUL-21,Jun 2021,0.99,1.79,0.8,80.81
CIO,05-AUG-21,Jun 2021,0.32,0.35,0.03,9.38
CIR,10-AUG-21,Jun 2021,0.33,0.35,0.02,6.06
CIVB,23-JUL-21,Jun 2021,0.57,0.59,0.02,3.51
CL,30-JUL-21,Jun 2021,0.8,0.8,0.0,0.0
CLAR,02-AUG-21,Jun 2021,0.19,0.2,0.01,5.26
CLBK,28-JUL-21,Jun 2021,0.21,0.27,0.06,28.57
CLDT,03-AUG-21,Jun 2021,0.09,0.1,0.01,11.11
CLDX,05-AUG-21,Jun 2021,-0.4,-0.34,0.06,15.0
CLF,22-JUL-21,Jun 2021,1.48,1.46,-0.02,-1.35
